adduser	3.153ubuntu1
libdaxctl1:amd64	81-1ubuntu1
libdb5.3t64:amd64	5.3.28+dfsg2-10ubuntu1
libdebconfclient0:amd64	0.280ubuntu1
libdevmapper1.02.1:amd64	2:1.02.205-2ubuntu3
libelf1t64:amd64	0.194-4
libexpat1:amd64	2.7.4-1
libext2fs2t64:amd64	1.47.2-3ubuntu4
libfdt1:amd64	1.7.2-2ubuntu1
libffi8:amd64	3.5.2-4
libfuse3-4:amd64	3.18.2-1
libgcc-s1:amd64	16-20260322-1ubuntu1
libgcrypt20:amd64	1.12.0-2ubuntu1.1
libglib2.0-0t64:amd64	2.88.0-1
libgmp10:amd64	2:6.3.0+dfsg-5ubuntu2
libgnutls30t64:amd64	3.8.12-2ubuntu1.1
libgpg-error0:amd64	1.58-2
libgssapi-krb5-2:amd64	1.22.1-2ubuntu4.1
libhogweed6t64:amd64	3.10.2-1
libibverbs1:amd64	61.0-2ubuntu3
libidn2-0:amd64	2.3.8-4build1
libisoburn1t64:amd64	1:1.5.6-1.1ubuntu4
libisofs6t64:amd64	1.5.6.pl01-1.1ubuntu3
libjpeg-turbo8:amd64	2.1.5-4ubuntu4
libjpeg8:amd64	8c-2ubuntu12
libk5crypto3:amd64	1.22.1-2ubuntu4.1
libkeyutils1:amd64	1.6.3-6ubuntu3
libkmod2:amd64	34.2-2ubuntu2
libkrb5-3:amd64	1.22.1-2ubuntu4.1
libkrb5support0:amd64	1.22.1-2ubuntu4.1
libksba8:amd64	1.6.7-2build1
libldap-common	2.6.10+dfsg-1ubuntu5
libldap2:amd64	2.6.10+dfsg-1ubuntu5
liblz4-1:amd64	1.10.0-8
liblzma5:amd64	5.8.3-1
liblzo2-2:amd64	2.10-3build2
libmagic-mgc	1:5.46-5build2
libmagic1t64:amd64	1:5.46-5build2
libmd0:amd64	1.1.0-2build4
libmount1:amd64	2.41.3-3ubuntu2.2
libmpathcmd0	0.14.3-2ubuntu1
libmpathpersist0	0.14.3-2ubuntu1
libmultipath0	0.14.3-2ubuntu1
libncursesw6:amd64	6.6+20251231-1
libndctl6:amd64	81-1ubuntu1
libnettle8t64:amd64	3.10.2-1
libnghttp2-14:amd64	1.68.0-2ubuntu0.2
libnl-3-200:amd64	3.12.0-2
libnl-route-3-200:amd64	3.12.0-2
libnpth0t64:amd64	1.8-3build1
libnspr4:amd64	2:4.38.2-1ubuntu1
libnss3:amd64	2:3.120-1ubuntu2.1
libnuma1:amd64	2.0.19-1build1
libp11-kit0:amd64	0.26.2-2
libpam-modules:amd64	1.7.0-5ubuntu3.2
libpam-modules-bin	1.7.0-5ubuntu3.2
libpam-runtime	1.7.0-5ubuntu3.2
libpam0g:amd64	1.7.0-5ubuntu3.2
libpcre2-8-0:amd64	10.46-1build1
libpcsclite1:amd64	2.4.1-1
libpixman-1-0:amd64	0.46.4-1
libpmem1:amd64	1.13.1-1.1ubuntu4
libpng16-16t64:amd64	1.6.57-1
libproc2-0:amd64	2:4.0.4-9ubuntu1
libpsl5t64:amd64	0.21.2-1.1build2
libpython3-stdlib:amd64	3.14.3-0ubuntu2
libpython3.14-minimal:amd64	3.14.4-1ubuntu0.2
libpython3.14-stdlib:amd64	3.14.4-1ubuntu0.2
librdmacm1t64:amd64	61.0-2ubuntu3
libreadline8t64:amd64	8.3-4
librtmp1:amd64	2.4+20151223.gitfa8646d.1-3
libsasl2-2:amd64	2.1.28+dfsg1-9ubuntu3
libsasl2-modules-db:amd64	2.1.28+dfsg1-9ubuntu3
libseccomp2:amd64	2.6.0-2ubuntu5
libselinux1:amd64	3.9-4build1
libsemanage-common	3.9-1build1
libsemanage2:amd64	3.9-1build1
libsepol2:amd64	3.9-2
libslirp0:amd64	4.9.1-1ubuntu1.1
libsmartcols1:amd64	2.41.3-3ubuntu2.2
libsqlite3-0:amd64	3.46.1-9ubuntu0.2
libss2:amd64	1.47.2-3ubuntu4
libssh2-1t64:amd64	1.11.1-1ubuntu0.26.04.4
libssl3t64:amd64	3.5.5-1ubuntu3.5
libstdc++6:amd64	16-20260322-1ubuntu1
libsystemd0:amd64	259.5-0ubuntu3.4
libtasn1-6:amd64	4.21.0-2
libtinfo6:amd64	6.6+20251231-1
libudev1:amd64	259.5-0ubuntu3.4
libunistring5:amd64	1.3-2build1
liburcu8t64:amd64	0.15.6-1
liburing2:amd64	2.14-1
libusb-1.0-0:amd64	2:1.0.29-2build1
libusbredirparser1t64:amd64	0.15.0-1build1
libuuid1:amd64	2.41.3-3ubuntu2.2
libxxhash0:amd64	0.8.3-2build1
libzstd1:amd64	1.5.7+dfsg-3
login	1:4.16.0-2+really2.41.3-3ubuntu2.2
login.defs	1:4.17.4-2ubuntu3
logsave	1.47.2-3ubuntu4
mawk	1.3.4.20260129-1
media-types	14.0.0build1
mount	2.41.3-3ubuntu2.2
mtools	4.0.49-1
ncurses-base	6.6+20251231-1
ncurses-bin	6.6+20251231-1
netbase	6.5build1
openssl	3.5.5-1ubuntu3.5
openssl-provider-legacy	3.5.5-1ubuntu3.5
passwd	1:4.17.4-2ubuntu3
perl-base	5.40.1-7ubuntu0.1
pinentry-curses	1.3.2-3ubuntu1
procps	2:4.0.4-9ubuntu1
python3	3.14.3-0ubuntu2
python3-minimal	3.14.3-0ubuntu2
python3.14	3.14.4-1ubuntu0.2
python3.14-minimal	3.14.4-1ubuntu0.2
qemu-efi-aarch64	2025.11-3ubuntu7
qemu-system-arm	1:10.2.1+ds-1ubuntu3.2
qemu-system-common	1:10.2.1+ds-1ubuntu3.2
qemu-system-data	1:10.2.1+ds-1ubuntu3.2
readline-common	8.3-4
rust-coreutils	0.8.0-0ubuntu3
sed	4.9-2ubuntu1
sensible-utils	0.0.26build1
squashfs-tools	1:4.7.5-1
sysvinit-utils	3.15-5ubuntu1
tar	1.35+dfsg-4ubuntu0.4
tzdata	2026c-0ubuntu0.26.04.1
ubuntu-helper-virt-hwe	1:10.2.1+ds-1ubuntu4.3
ubuntu-keyring	2023.11.28.1build1
ubuntu-virt	1:10.2.1+ds-1ubuntu3.2
util-linux	2.41.3-3ubuntu2.2
xorriso	1:1.5.6-1.1ubuntu4
zlib1g:amd64	1:1.3.dfsg+really1.3.1-1ubuntu3.1
zstd	1.5.7+dfsg-3
